Image,Object,Comments,Coder,Exclude,None,Unsure,Category,sub_num
084603.gif,paintbrush,NA,MC,0,0,0,NA,5942
084617.gif,paintbrush,NA,MC,0,0,0,NA,5942
084627.gif,paintbrush,NA,MC,0,0,0,NA,5942
084637.gif,paintbrush,NA,MC,0,0,0,NA,5942
084649.gif,paintbrush,NA,MC,0,0,0,NA,5942
084659.gif,paintbrush,NA,MC,0,0,0,NA,5942
084738.gif,paintbrush,NA,MC,0,0,0,NA,5942
084748.gif,paintbrush,NA,MC,0,0,0,NA,5942
084758.gif,paintbrush,NA,MC,0,0,0,NA,5942
084830.gif,paintbrush,NA,MC,0,0,0,NA,5942
084841.gif,paintbrush,NA,MC,0,0,0,NA,5942
084851.gif,paintbrush,NA,MC,0,0,0,NA,5942
084902.gif,paintbrush,NA,MC,0,0,0,NA,5942
084930.gif,paintbrush,NA,MC,0,0,0,NA,5942
085117.gif,paintbrush,NA,MC,0,0,0,NA,5942
085127.gif,paintbrush,NA,MC,0,0,0,NA,5942
085139.gif,paintbrush,NA,MC,0,0,0,NA,5942
085149.gif,paintbrush,NA,MC,0,0,0,NA,5942
085221.gif,paintbrush,NA,MC,0,0,0,NA,5942
085337.gif,paintbrush,NA,MC,0,0,0,NA,5942
085514.gif,paintbrush,NA,MC,0,0,0,NA,5942
085525.gif,paintbrush,NA,MC,0,0,0,NA,5942
085536.gif,paintbrush,NA,MC,0,0,0,NA,5942
085913.gif,baby bathtub,NA,KC,0,0,0,NA,5942
085933.gif,baby bathtub,NA,KC,0,0,0,NA,5942
085945.gif,baby bathtub,NA,KC,0,0,0,NA,5942
092347.gif,stairs,NA,MC,0,0,0,NA,3041
093317.gif,NA,NA,KC,1,0,0,NA,3041
093808.gif,NA,NA,MC,0,0,1,Natural,3041
093942.gif,NA,NA,MC,0,0,1,Natural,3041
094323.gif,stick,NA,KC,0,0,0,NA,3041
094353.gif,stick,NA,KC,0,0,0,NA,3041
110702.gif,NA,NA,MC,1,0,0,NA,3041
111857.gif,stick,NA,KC,0,0,0,NA,3041
113007.gif,NA,NA,MC,1,0,0,NA,3041
113427.gif,leaf,NA,MC,0,0,0,NA,3041
113514.gif,leaf,NA,KC,0,0,0,NA,3041
113529.gif,leaf,NA,KC,0,0,0,NA,3041
113545.gif,leaf,NA,KC,0,0,0,NA,3041
113600.gif,leaf,NA,KC,0,0,0,NA,3041
114339.gif,stick,NA,MC,0,0,0,NA,3041
114354.gif,stick,NA,MC,0,0,0,NA,3041
114409.gif,stick,NA,KC,0,0,0,NA,3041
114426.gif,stick,NA,KC,0,0,0,NA,3041
114441.gif,stick,NA,KC,0,0,0,NA,3041
114529.gif,stick,NA,MC,0,0,0,NA,3041
114631.gif,stick,NA,MC,0,0,0,NA,3041
114703.gif,sago,NA,KC,0,0,0,NA,3041
114718.gif,sago,NA,KC,0,0,0,NA,3041
114736.gif,sago,NA,KC,0,0,0,NA,3041
114751.gif,sago,NA,KC,0,0,0,NA,3041
114806.gif,sago,NA,KC,0,0,0,NA,3041
115512.gif,leaf,NA,MC,0,0,0,NA,3041
115647.gif,rock,NA,MC,0,0,0,NA,3041
115742.gif,leaf,NA,KC,0,0,0,NA,3041
115829.gif,flower,NA,MC,0,0,0,NA,3041
115931.gif,leaf,NA,MC,0,0,0,NA,3041
115946.gif,leaf,NA,MC,0,0,0,NA,3041
120002.gif,leaf,NA,MC,0,0,0,NA,3041
120500.gif,stick,NA,MC,0,0,0,NA,3041
124616.gif,jacket,NA,KC,0,0,0,NA,3041
073136.gif,NA,NA,MC,0,0,1,Natural,5348
073325.gif,"bowl, sago",NA,KC,0,0,0,NA,5348
