Object,Count,object.corrected,check.again,viewed.image,checker,comments,
white bottle,1,NA,0,1,KC,added to corrections.csv,
white bowl,1,bowl,0,0,KC,,
white container,1,NA,0,1,KC,added to corrections.csv,
white net,1,NA,0,1,KC,added to corrections.csv,
white object/fabric,1,NA,0,1,KC,added to corrections.csv,
white plastic bag,1,plastic bag,0,0,KC,,
white toy,1,NA,0,1,KC,added to corrections.csv,
wood log,1,log,0,1,KC,,
wooden  stick,1,stick,0,1,KC,,
wooden chiar,1,chair,0,0,KC,,
wooden curtains,1,blinds,0,0,KC,,
wooden door,1,door,0,0,KC,,
wooden ladder,1,NA,0,1,KC,added to corrections.csv,
wooden railing,1,NA,0,1,KC,,
wooden slats,1,wood slat,0,1,KC,,
woven bag,1,purse,0,1,KC,,
yellow cup,1,cup,0,1,KC,,
yellow teletubbie,1,teletubby toy,0,0,KC,,
animal slap bracelet,2,animal slap bracelet,0,0,KC,,
babydool,2,doll,0,0,KC,,
barbie doll,2,doll,0,0,KC,,
bean pods,2,bean,0,0,KC,,
black boot,2,shoe,0,0,KC,,
blankets,2,blanket,0,0,KC,,
blue bin,2,bucket,0,1,KC,,
blue sling,2,baby sling,0,0,KC,,
Body parts are not coded as held objects,2,NA,0,0,KC,added to corrections.csv,
Body parts cannot be coded as held objects,2,NA,0,0,KC,added to corrections.csv,
bottled beverage,2,NA,0,1,KC,added to corrections.csv,
bottled drink,2,NA,0,1,KC,added to corrections.csv,
bowl containing food/drink (unclear exact object),2,NA,0,1,KC,,
bowl of rice,2,NA,0,1,KC,added to corrections.csv,
brick,2,brick,0,1,KC,,
brush,2,brush,0,0,KC,,
cacao pod,2,cacao,0,0,KC,,
can,2,NA,0,1,KC,added to corrections.csv,
canteen,2,NA,NA,NA,NA,,
chip,2,chips,0,0,KC,,
coke bottle,2,NA,0,1,KC,added to corrections.csv,
compact mirror,2,mirror,0,0,KC,,
concrete flooring,2,NA,0,1,KC,added to corrections.csv,
corn kernel,2,corn,0,0,KC,,
dirt pavement,2,gravel,0,1,KC,,
gate,2,NA,0,1,KC,,
jean jacket,2,jacket,0,0,KC,,
jewelry,2,bracelet,0,1,KC,,
knit tote bag,2,purse,0,1,KC,,
large white fabric,2,bed sheet,0,1,KC,,
large wooden log,2,canoe,0,1,KC,,
laundry detergent,2,detergent,0,0,KC,,
lid of container,2,container lid,0,0,KC,,
meat bone,2,meat bone,0,1,KC,,
metal clip,2,metal clip,0,1,KC,,
metal lid,2,pot,0,1,KC,,
orange toy,2,sandcastle mold,0,1,KC,,
patio edge,2,patio edge,1,1,KC,,
picture book,2,book,0,1,KC,,
pink paper,2,book,0,1,KC,workbook,
planting pot,2,plant pot,0,1,KC,,
plastic brush,2,scrub brush,0,1,KC,,
plastic cap,2,bottle cap,0,0,KC,,
plastic container (probably containing lime),2,container,1,0,KC,,
plastic cup,2,cup,0,1,KC,,
plastic rice bag on string,2,weight,1,0,KC,,
plastic strips,2,ribbon,1,0,KC,,
plastic toy,2,NA,0,1,KC,added to corrections.csv,
pocket knife,2,knife-W,1,1,KC,,
pointed wooden stick,2,stick,0,1,KC,,
pot cover,2,pot,0,1,KC,,
purple toy,2,NA,0,1,KC,added to corrections.csv,
red plastic bag,2,plastic bag,0,1,KC,,
seafood in bowl,2,NA,NA,NA,NA,,
sharpened stick,2,stick,0,0,KC,,
shawl,2,NA,0,1,KC,added to corrections.csv,
shoelace,2,shoelace,0,0,KC,,
soap,2,soap,0,0,KC,,
spatula,2,spatula,0,1,KC,,
stuffed animal baby doll,2,doll,0,0,KC,,
tall grass,2,plant,0,1,KC,,
tin foil,2,tin foil,0,0,KC,,
toy bird,2,toy bird,0,0,KC,,
toy lamb,2,toy lamb,0,0,KC,,
trash basket,2,NA,0,1,KC,added to corrections.csv,
trash bin,2,trash bin,0,1,KC,,
vick's vaporub,2,vick's vapor rub,0,1,KC,,
water bottle lid,2,reusable water bottle,0,1,KC,,
weight,2,NA,0,1,KC,,
white bucket,2,bucket,0,0,KC,,
white cup,2,cup,0,1,KC,,
white fabric,2,burlap,1,0,KC,,
wood beam,2,floor,1,1,KC,MC check for immovable,
wood scrappings,2,wood shavings,0,1,KC,,
wood table,2,table,0,0,KC,,
wooden bench,2,bench,0,1,KC,switched some to chair,
wooden plank,2,wood slat,0,1,KC,,
wooden support,2,NA,0,1,KC,"switched to floor/house pile, added to corrections.csv",
wooden wall,2,wall,0,1,KC,,
yellow object,2,NA,0,1,KC,added to corrections.csv,
yellow package,2,NA,0,1,KC,added to corrections.csv,
yellow wind-up toy,2,wind up toy,0,0,KC,,
avacado pit,3,ball,1,0,KC,"could be another synthetic object, definitely not avocado pit",
bag of bread,3,"plastic bag, bread",0,1,KC,,
bag of tortillas,3,"plastic bag, tortilla",0,0,KC,,
bean stick,3,bean,0,1,KC,,
black toy car,3,toy car,0,0,KC,,
blue pot,3,pot,0,1,KC,,
blue shirt,3,shirt,0,0,KC,,
branches,3,NA,0,1,KC,"switched to firewood/plant, added to corrections.csv",
bubbles,3,bubbles,0,0,KC,,
coin bag,3,coin bag,0,1,KC,,
drink in a white mug,3,cup,0,1,KC,,
dvd disk,3,CD,0,1,KC,,
egg,3,egg,0,0,KC,,
feather duster,3,feather duster,0,0,KC,,
grapes,3,grape,0,1,KC,,
green plastic basket,3,plastic basket,0,0,KC,,
green stalk,3,plant,0,1,KC,,
green toy car,3,toy car,0,0,KC,,
guavas,3,guava,0,0,KC,,
hammer,3,hammer,0,0,KC,,
hibiscus,3,flower,0,1,KC,,
jar of candy,3,"jar, candy",0,1,KC,,
knit wrap,3,blanket,1,0,KC,,
little bits of rice or tapioca,3,NA,0,1,KC,added to corrections.csv,
lollipop stick,3,lollipop stick,0,1,KC,,
long white object,3,NA,0,0,KC,added to corrections.csv,
medicine dropper bottle,3,medicine bottle,0,0,KC,,
metal door,3,door,0,1,KC,,
metal pole,3,NA,0,1,KC,added to corrections.csv,
metal stool,3,table,0,1,KC,,
mug with beverage,3,cup,0,1,KC,,
neon green mop,3,mop,0,0,KC,,
orange plastic spring,3,plastic tubing,0,1,KC,,
pacifier,3,pacifier,1,1,KC,could be another synthetic object/toy,
packaged rice,3,rice,1,1,KC,check function on one,
palms,3,plant,0,1,KC,,
paper airplane,3,paper airplane,0,0,KC,,
peso,3,money,0,1,KC,,
pink flower,3,flower,0,0,KC,,
plastic chairs,3,chair,0,0,KC,,
plastic comb,3,comb,0,0,KC,,
powerade water,3,empty drink bottle,0,1,KC,,
