object,category,check,comments
canola oil,Food,,
potato,Food,,
popsicle stick,Synthetic,,
tarp,Synthetic,,
toy sink,Toy,,
corn plant,Natural,1,
animal slap bracelet,Toy,,
vick's vapor rub,Synthetic,,
toy bear,Toy,,
medicine box,Synthetic,,
misc toy,Toy,,
powerade,Food,,
laundry detergent,Tool,1,
tape,Synthetic,,
small green/blue animal head,Toy,1,
napkin,Tool,1,
misc cardboard box,Synthetic,,
tsek,Synthetic,,
trash bag,Tool,1,
toy tray,Toy,,
beaker,Synthetic,,
pan,Tool,,
coin bag,Synthetic,,
small green object,,1,unsure
strainer,Tool,,
sponge,Tool,1,
dvd disk,Synthetic,,
toy dinosaur,Toy,,
toy mat,Toy,,
feather duster,Tool,,
wagon,Toy,,
beads,Synthetic,,
styrofoam,Synthetic,,
toy bird,Toy,,
glasses,Synthetic,,
avocado pit,Food,,
pit,Food,,
cable,Synthetic,,
brick,Synthetic,,
citrus,Food,,
chayote,Food,,
stuffed animal (bunny),Toy,,
salt,Food,1,"check function, pretty sure it was a large bag"
gravel,Synthetic,1,
notebook,Synthetic,1,
hair clip,Synthetic,,
government food packet,Food,,
medicine dropper bottle,Synthetic,,
water bottle lid,Tool,1,
clapper toy,Toy,,
wash basin,Tool,1,
wood disc,Synthetic,1,check if toy
legal pad,Synthetic,,
rice puff,Food,,
bed,Immovable,,
powdered juice,Food,,
juice,Food,,
sock,Synthetic,,
pipe instrument,Synthetic,1,
walkie talkie,Synthetic,1,
paper towel,Synthetic,1,tool?
chain,Synthetic,,
kitten,Toy,1,toy or animal?
textbook,Synthetic,1,
oat bar,Food,,
grapes,Food,,
barbie,Toy,,
toothpaste,Synthetic,1,
knitting needle,Tool,1,
wheelbarrow,Tool,1,
stereo,Synthetic,,
screw,Tool,,
bell pepper,Food,,
rebar,Immovable,1,
misc work tool,Tool,,
underwear,Synthetic,,
level,Tool,,
crowbar,Tool,,
rebar fragment,Synthetic,,
net,Synthetic,,
bush,Natural,,
patio edge (concrete ground),Immovable,,
spade,Tool,,
wood block,Synthetic,1,check if toy
wood fragment,Natural,1,
wooden block,Synthetic,1,check if toy and merge with above
toy pot,Toy,,
sink,Tool,1,
stick? leaf?,Natural,1,reliability
leaf cover,Tool,1,reliability
cereal,Food,1,reliability
metal wheel,Synthetic,1,reliability
plastic thing,Synthetic,1,reliability
drawer,Immovable,1,reliability
cloth? pillow?,Synthetic,1,reliability
object,Synthetic,1,reliability
cement wall,Immovable,1,reliability
car,Immovable,1,reliability
rubber ring,Synthetic,1,reliability
foam crate,Synthetic,1,reliability
small object,Synthetic,1,reliability
iron scaffolding,Immovable,1,reliability
metal stick,Synthetic,1,reliability
