object,basic,check
grinder,grinder,
hair clip,clip,
hatchet,knife,1
juice powder,juice,1
lantern,lantern,
level,level,
lightbulb,lightbulb,
log,log,1
medicine tube,medicine,1
metal chain,chain,
mobile,mobile,
mosquito net,net,1
nail,nail,
napkin,napkin,
newspaper,newspaper,
paint,paint,
princess bag,bag,
remote,remote,
ruler,ruler,
spiky toy,toy,1
support,support,
teletubby toy,teletubby,1
toy plate,plate,
toy tray,tray,
tsek,tsek,
water bottle strap,bottle carrier,1
wood shavings,wood,
