site,sub_num,age,sex,image,category,object,duration
Rossel,7101,5,M,20160811_123607_000.gif,Food,milk,11
Rossel,7101,5,M,20160811_123607_000.gif,ToolMealtime,sippy cup,11
Rossel,7101,5,M,20160811_123607_000.gif,ToolMealtime,milk,11
Rossel,7101,5,M,20160811_123618_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123618_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123618_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123618_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123628_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123628_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123628_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123628_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123638_000.gif,Food,sippy cup,12
Rossel,7101,5,M,20160811_123638_000.gif,Food,milk,12
Rossel,7101,5,M,20160811_123638_000.gif,ToolMealtime,sippy cup,12
Rossel,7101,5,M,20160811_123638_000.gif,ToolMealtime,milk,12
Rossel,7101,5,M,20160811_123650_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123650_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123650_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123650_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123700_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123700_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123700_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123700_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123710_000.gif,Food,sippy cup,12
Rossel,7101,5,M,20160811_123710_000.gif,Food,milk,12
Rossel,7101,5,M,20160811_123710_000.gif,ToolMealtime,sippy cup,12
Rossel,7101,5,M,20160811_123710_000.gif,ToolMealtime,milk,12
Rossel,7101,5,M,20160811_123722_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123722_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123722_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123722_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123742_000.gif,Food,sippy cup,13
Rossel,7101,5,M,20160811_123742_000.gif,Food,milk,13
Rossel,7101,5,M,20160811_123742_000.gif,ToolMealtime,sippy cup,13
Rossel,7101,5,M,20160811_123742_000.gif,ToolMealtime,milk,13
Rossel,7101,5,M,20160811_123755_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123755_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123755_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123755_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123805_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123805_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123805_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123805_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123815_000.gif,Food,sippy cup,12
Rossel,7101,5,M,20160811_123815_000.gif,Food,milk,12
Rossel,7101,5,M,20160811_123815_000.gif,ToolMealtime,sippy cup,12
Rossel,7101,5,M,20160811_123815_000.gif,ToolMealtime,milk,12
Rossel,7101,5,M,20160811_123827_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123827_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123827_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123827_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123847_000.gif,Food,sippy cup,13
Rossel,7101,5,M,20160811_123847_000.gif,Food,milk,13
Rossel,7101,5,M,20160811_123847_000.gif,ToolMealtime,sippy cup,13
Rossel,7101,5,M,20160811_123847_000.gif,ToolMealtime,milk,13
Rossel,7101,5,M,20160811_123900_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123900_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123900_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123900_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123910_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123910_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123910_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123910_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123920_000.gif,Food,sippy cup,12
Rossel,7101,5,M,20160811_123920_000.gif,Food,milk,12
Rossel,7101,5,M,20160811_123920_000.gif,ToolMealtime,sippy cup,12
Rossel,7101,5,M,20160811_123920_000.gif,ToolMealtime,milk,12
Rossel,7101,5,M,20160811_123932_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123932_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123932_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123932_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_124202_000.gif,Food,sippy cup,11
Rossel,7101,5,M,20160811_124202_000.gif,Food,milk,11
Rossel,7101,5,M,20160811_124202_000.gif,ToolMealtime,sippy cup,11
Rossel,7101,5,M,20160811_124202_000.gif,ToolMealtime,milk,11
Rossel,7101,5,M,20160811_124245_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_124245_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_124245_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_124245_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_130216_000.gif,Clothing,pants,10
Rossel,7101,5,M,20160811_130236_000.gif,OtherSynthetic,comb,13
Rossel,7101,5,M,20160811_130309_000.gif,OtherSynthetic,comb,12
Rossel,7101,5,M,20160811_130341_000.gif,OtherSynthetic,comb,12
Rossel,7101,5,M,20160811_130353_000.gif,OtherSynthetic,comb,10
Rossel,7101,5,M,20160811_130414_000.gif,OtherSynthetic,comb,12
Rossel,7101,5,M,20160811_130436_000.gif,OtherSynthetic,comb,10
Rossel,7101,5,M,20160811_130446_000.gif,Clothing,comb,12
Rossel,7101,5,M,20160811_130446_000.gif,Clothing,pants,12
Rossel,7101,5,M,20160811_130446_000.gif,OtherSynthetic,comb,12
Rossel,7101,5,M,20160811_130446_000.gif,OtherSynthetic,pants,12
Rossel,7101,5,M,20160811_130458_000.gif,Clothing,comb,10
Rossel,7101,5,M,20160811_130458_000.gif,Clothing,pants,10
Rossel,7101,5,M,20160811_130458_000.gif,OtherSynthetic,comb,10
Rossel,7101,5,M,20160811_130458_000.gif,OtherSynthetic,pants,10
Rossel,7101,5,M,20160811_130508_000.gif,OtherSynthetic,comb,10
Rossel,7101,5,M,20160811_130518_000.gif,OtherSynthetic,comb,14
Rossel,7101,5,M,20160811_130657_000.gif,OtherSynthetic,comb,12
Rossel,7101,5,M,20160811_131103_000.gif,OtherSynthetic,comb,13
Rossel,7101,5,M,20160811_131116_000.gif,OtherSynthetic,comb,10
Rossel,7101,5,M,20160811_131126_000.gif,OtherSynthetic,comb,10
Rossel,7101,5,M,20160811_131136_000.gif,OtherSynthetic,comb,13
Rossel,7101,5,M,20160811_131149_000.gif,OtherSynthetic,comb,10
Rossel,7101,5,M,20160811_131159_000.gif,OtherSynthetic,comb,10
Rossel,7101,5,M,20160811_131209_000.gif,OtherSynthetic,comb,12
Rossel,7101,5,M,20160811_131221_000.gif,OtherSynthetic,comb,10
Rossel,7101,5,M,20160811_131241_000.gif,OtherSynthetic,comb,11
Rossel,7101,5,M,20160811_131502_000.gif,Food,starfruit,11
Rossel,7101,5,M,20160811_131858_000.gif,Food,starfruit,10
Rossel,7101,5,M,20160811_131908_000.gif,Food,starfruit,11
Rossel,7101,5,M,20160811_131919_000.gif,Food,starfruit,11
Rossel,7101,5,M,20160811_131930_000.gif,Food,starfruit,10
Rossel,7101,5,M,20160811_131940_000.gif,Food,starfruit,12
Rossel,7101,5,M,20160811_132002_000.gif,Food,starfruit,10
Rossel,7101,5,M,20160811_132012_000.gif,Food,starfruit,12
Rossel,7101,5,M,20160811_132024_000.gif,Food,starfruit,10
Rossel,7101,5,M,20160811_132034_000.gif,Food,starfruit,10
Rossel,7101,5,M,20160811_132044_000.gif,Food,starfruit,13
Rossel,7101,5,M,20160811_132117_000.gif,Food,starfruit,12
Rossel,7101,5,M,20160811_132129_000.gif,Food,starfruit,10
Rossel,7101,5,M,20160811_132149_000.gif,Food,starfruit,11
Rossel,7504,21,M,091725.gif,Electronic,ipod touch,12
Rossel,9706,41,F,070204.gif,Food,betel nut,17
Rossel,9706,41,F,070519.gif,Food,betel nut,15
Rossel,9706,41,F,070534.gif,Food,betel nut,16
Rossel,9706,41,F,070550.gif,Food,tuber,15
Rossel,9706,41,F,070605.gif,Food,tuber,15
Rossel,9706,41,F,070620.gif,Food,betel nut,18
Rossel,9706,41,F,070638.gif,Food,betel nut,16
Rossel,9706,41,F,070654.gif,Food,betel nut,15
Rossel,9706,41,F,070709.gif,Food,betel nut,17
Rossel,9706,41,F,070726.gif,Food,betel nut,15
Rossel,9706,41,F,071034.gif,Food,betel nut,15
Rossel,9706,41,F,071049.gif,Food,betel nut,15
Rossel,9706,41,F,071104.gif,Food,betel nut,18
Rossel,9706,41,F,071255.gif,Food,wooden pole,18
Rossel,9706,41,F,071255.gif,Food,betel nut,18
Rossel,9706,41,F,071255.gif,OtherLargeImmovable,wooden pole,18
Rossel,9706,41,F,071255.gif,OtherLargeImmovable,betel nut,18
Rossel,9706,41,F,071313.gif,Food,betel nut,15
Rossel,9706,41,F,071328.gif,Food,betel nut,15
Rossel,9706,41,F,071328.gif,Food,wooden pole,15
Rossel,9706,41,F,071328.gif,OtherLargeImmovable,betel nut,15
Rossel,9706,41,F,071328.gif,OtherLargeImmovable,wooden pole,15
Rossel,9706,41,F,071343.gif,Food,betel nut,17
Rossel,9706,41,F,071343.gif,Food,wooden pole,17
Rossel,9706,41,F,071343.gif,OtherLargeImmovable,betel nut,17
Rossel,9706,41,F,071343.gif,OtherLargeImmovable,wooden pole,17
Rossel,9706,41,F,071941.gif,OtherLargeImmovable,wooden ladder,15
Rossel,9706,41,F,073012.gif,Food,betel nut,17
Rossel,9706,41,F,073352.gif,Food,betel nut,15
Rossel,9706,41,F,073407.gif,OtherSynthetic,bucket,17
Rossel,9706,41,F,073733.gif,OtherLargeImmovable,wall,15
Rossel,9706,41,F,080108.gif,OtherSynthetic,tin container,16
Rossel,9706,41,F,080758.gif,OtherNatural,rock,15
Rossel,9706,41,F,080813.gif,OtherNatural,rock,15
Rossel,9706,41,F,080828.gif,OtherNatural,rock,16
Rossel,9706,41,F,080844.gif,OtherSynthetic,tin contianer,15
Rossel,9706,41,F,081048.gif,OtherLargeImmovable,wooden ladder,16
Rossel,9706,41,F,082156.gif,ToolMealtime,knife,15
Rossel,9706,41,F,082211.gif,ToolMealtime,knife,16
Rossel,9706,41,F,082227.gif,ToolMealtime,knife,15
Rossel,9706,41,F,082242.gif,ToolMealtime,knife,15
Rossel,9706,41,F,082257.gif,ToolMealtime,knife,18
Rossel,9706,41,F,082315.gif,ToolMealtime,knife,15
Rossel,9706,41,F,082449.gif,Clothing,knife,15
Rossel,9706,41,F,082449.gif,Clothing,shirt,15
Rossel,9706,41,F,082449.gif,ToolMealtime,knife,15
Rossel,9706,41,F,082449.gif,ToolMealtime,shirt,15
Rossel,9706,41,F,082504.gif,ToolMealtime,knife,15
Rossel,9706,41,F,082519.gif,ToolMealtime,knife,17
